StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Subject #,Date,birthdate,current age,sex,gender,ethnicity,race,years of school,handedness,english nativeness,second native yn,second native lang,lang classification,colorblindness,colorblind spectrum
4/11/2023 9:51,4/11/2023 9:59,IP Address,205.175.118.117,100,454,TRUE,4/11/2023 9:59,R_1kUOWDyxU5Myrne,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7509,6/17/2004,6/17/2004,18,Male,Male,Not Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,No,,Monolingual,No,
4/11/2023 11:22,4/11/2023 11:38,IP Address,205.175.118.117,100,934,TRUE,4/11/2023 11:38,R_3DwgxMNAGFXoG4C,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7512,4/11/2023,2/9/2004,19,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Left,Yes,No,,Monolingual,No,
4/11/2023 12:54,4/11/2023 13:17,IP Address,205.175.118.117,100,1364,TRUE,4/11/2023 13:17,R_3GxPhT8kLE5ua3R,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7513,4/11/2023,11/24/2003,19,Male,Male,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual,No,
4/11/2023 12:57,4/11/2023 13:24,IP Address,205.175.118.39,100,1624,TRUE,4/11/2023 13:24,R_YRkgosf8nzmZzcR,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7510,4/11/2023,1/18/2003,20,Female,Female,Not Hispanic or Latino,Asian,16 (Completed College),Right,Yes,No,,Early Bilingual,No,
4/11/2023 14:46,4/11/2023 15:00,IP Address,205.175.118.117,100,854,TRUE,4/11/2023 15:00,R_2VqYjVAZkgoQQVF,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7515,4/11/2023,7/23/2004,18,Female,Female,Not Hispanic or Latino,Asian,13 (College Freshman),Right,No,Yes,Chinese,Early Bilingual,No,
4/11/2023 10:21,4/11/2023 16:37,IP Address,205.175.118.119,100,22513,TRUE,4/11/2023 16:37,R_21hSaUPXcHAvoh7,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7516,4/11/2023,8/8/2004,18,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,Yes,No,,Monolingual,No,
4/11/2023 16:20,4/11/2023 16:38,IP Address,205.175.118.117,100,1091,TRUE,4/11/2023 16:38,R_XAPBYR49plToFxf,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7517,4/11/2023,8/18/2004,18,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual,No,
4/11/2023 17:53,4/11/2023 18:24,IP Address,205.175.118.117,100,1811,TRUE,4/11/2023 18:24,R_agRPLw9xJIii7n3,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7519,4/11/2023,12/13/2004,18,Female,Female,Not Hispanic or Latino,Other,13 (College Freshman),Right,No,Yes,Arabic,Early Bilingual,No,
4/11/2023 17:57,4/11/2023 18:26,IP Address,205.175.118.119,100,1743,TRUE,4/11/2023 18:26,R_XM6tKbh3rk4vngZ,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7518,4/11/2023,7/17/2004,18,Male,Male,Not Hispanic or Latino,White,14 (College Sophmore),Right,Yes,No,,Monolingual,Yes,Blue (Tritan)
4/12/2023 8:56,4/12/2023 9:03,IP Address,205.175.118.117,100,430,TRUE,4/12/2023 9:03,R_1K7Hml004Oj84e3,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7521,10/13/2003,10/13/2003,19,Male,Male,Not Hispanic or Latino,Asian,13 (College Freshman),Right,No,Yes,Punjabi,Early Bilingual,No,
4/12/2023 12:11,4/12/2023 12:19,IP Address,205.175.118.119,100,495,TRUE,4/12/2023 12:19,R_2sRyBekZ6IeXyhi,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7504,4/12/2023,3/16/2004,19,Male,Male,Hispanic or Latino,Other,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual,No,
4/12/2023 10:57,4/12/2023 12:23,IP Address,205.175.118.117,100,5171,TRUE,4/12/2023 12:23,R_1DOMZFIINVR9zqT,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7522,4/12/2023,4/6/2002,21,Male,Male,Not Hispanic or Latino,Asian,15 (College Junior),Right,Yes,No,,Monolingual,No,
4/12/2023 15:26,4/12/2023 15:41,IP Address,205.175.118.117,100,895,TRUE,4/12/2023 15:41,R_1kIJRMqZWybb9Eh,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7523,4/12/2023,10/28/2000,22,Male,Male,Not Hispanic or Latino,White,15 (College Junior),Right,No,No,,Late Bilingual,No,
4/12/2023 15:30,4/12/2023 15:42,IP Address,205.175.118.119,100,704,TRUE,4/12/2023 15:42,R_0iF77hNgUbpS87L,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7525,4/12/2023,5/3/2004,18,Female,Female,Hispanic or Latino,Other,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual,No,
4/13/2023 8:50,4/13/2023 9:02,IP Address,205.175.118.119,100,773,TRUE,4/13/2023 9:02,R_03BZSZ6dMngvi6t,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7514,4/13/2023,5/2/2004,18,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,No,Yes,Chinese,Monolingual,No,
4/13/2023 8:53,4/13/2023 9:09,IP Address,205.175.118.117,100,917,TRUE,4/13/2023 9:09,R_1OxZrkQaWQFmB11,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7520,4/13/2023,5/23/2003,19,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Left,No,Yes,Cantonese,Early Bilingual,No,
4/13/2023 10:34,4/13/2023 10:41,IP Address,205.175.118.119,100,402,TRUE,4/13/2023 10:41,R_21vnBpMGI6WYDR7,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7524,4/13/2023,9/16/2023,19,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,None of the above,No,
4/13/2023 10:30,4/13/2023 10:44,IP Address,205.175.118.117,100,809,TRUE,4/13/2023 10:44,R_sGRzdTIymZrU0Qp,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7526,4/13/2023,11/30/2003,19,Female,Other,Hispanic or Latino,Prefer Not to Answer,13 (College Freshman),Right,No,Yes,spanish,Early Bilingual,No,
4/13/2023 12:12,4/13/2023 12:26,IP Address,205.175.118.119,100,867,TRUE,4/13/2023 12:26,R_2zoJ6zhv7fVvDTE,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7528,4/13/2023,5/5/2003,19,Male,Male,Hispanic or Latino,White,13 (College Freshman),Right,Yes,No,,Monolingual,No,
4/13/2023 12:38,4/13/2023 12:46,IP Address,205.175.118.117,100,514,TRUE,4/13/2023 12:46,R_2wcsoHTDxb2I4AS,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7527,4/13/2023,3/11/2001,22,Female,Female,Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,Yes,Spanish,Early Bilingual,No,
4/13/2023 13:46,4/13/2023 14:00,IP Address,205.175.118.119,100,833,TRUE,4/13/2023 14:00,R_1jlmqewVl8SU2t3,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7529,4/13/2023,8/4/2003,19,Male,Male,Not Hispanic or Latino,Asian,13 (College Freshman),Right,Yes,Yes,Cantonese ,Late Bilingual,No,
4/13/2023 14:05,4/13/2023 14:10,IP Address,205.175.118.117,100,292,TRUE,4/13/2023 14:10,R_2v1ftFm58nDe8g3,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7530,4/13/2023,10/28/2003,19,Female,Female,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,Yes,No,,Monolingual,No,
4/13/2023 15:40,4/13/2023 15:47,IP Address,205.175.118.119,100,416,TRUE,4/13/2023 15:47,R_Dd86zJNgN6K5UXv,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7532,4/13/2023,6/28/2002,20,Female,Female,Not Hispanic or Latino,Multiracial,15 (College Junior),Right,Yes,No,,Monolingual,No,
4/13/2023 15:22,4/13/2023 15:48,IP Address,205.175.118.117,100,1577,TRUE,4/13/2023 15:48,R_1qg5OZsO7MWhuA6,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7531,4/13/2023,6/5/2004,18,Female,Female,Not Hispanic or Latino,Asian,13 (College Freshman),Right,Yes,No,,Early Bilingual,No,
4/13/2023 17:00,4/13/2023 17:18,IP Address,205.175.118.117,100,1043,TRUE,4/13/2023 17:18,R_1FwZ9WQpMDE4AQ7,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7535,4/13/2023,3/14/2002,21,Female,Female,Not Hispanic or Latino,White,15 (College Junior),Left,Yes,No,,Late Bilingual,No,
4/13/2023 16:42,4/13/2023 17:21,IP Address,205.175.118.119,100,2360,TRUE,4/13/2023 17:21,R_D9352cVZN0tlTrP,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7533,4/13/2023,12/22/2003,19,Female,Female,Not Hispanic or Latino,White,13 (College Freshman),Right,Yes,Yes,Swedish,Early Bilingual,No,
4/13/2023 18:44,4/14/2023 9:09,IP Address,205.175.118.119,100,51904,TRUE,4/14/2023 9:09,R_3e9RpQUPimY913Z,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7536,4/14/2023,10/25/2003,19,Female,Female,Not Hispanic or Latino,Asian,13 (College Freshman),Left,No,No,,Monolingual,No,
4/14/2023 9:02,4/14/2023 10:43,IP Address,205.175.118.117,100,6040,TRUE,4/14/2023 10:43,R_1duCy9UXsWsMzg1,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7537,4/14/2023,11/28/2001,21,Female,Male,Not Hispanic or Latino,Asian,12 (Completed Highschool),Right,No,Yes,Chinese,Monolingual,No,
4/14/2023 12:08,4/14/2023 12:21,IP Address,205.175.118.117,100,754,TRUE,4/14/2023 12:21,R_1mt6cFqubiMAyo3,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7540,4/14/2023,4/7/2001,22,Male,Male,Not Hispanic or Latino,Asian,13 (College Freshman),Right,No,Yes,Chinese,Early Bilingual,No,
4/14/2023 10:28,4/14/2023 12:31,IP Address,205.175.118.119,100,7366,TRUE,4/14/2023 12:31,R_qXdEUo62gOlY5pL,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7538,4/14/2023,12/5/2000,22,Female,Female,Not Hispanic or Latino,Black / African American,15 (College Junior),Right,Yes,Yes,Tigrinya,Early Bilingual,No,
4/14/2023 13:55,4/14/2023 14:02,IP Address,205.175.118.117,100,446,TRUE,4/14/2023 14:02,R_zdo9ioUQSHg7y4p,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7542,4/14/2023,6/2/2003,19,Male,Male,Not Hispanic or Latino,Asian,14 (College Sophmore),Right,No,Yes,English,Early Bilingual,No,
4/14/2023 13:51,4/14/2023 14:05,IP Address,205.175.118.119,100,837,TRUE,4/14/2023 14:05,R_D0Hn7hsSvfLSRLH,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7541,4/14/2023,7/1/2000,22,Female,Female,Not Hispanic or Latino,Asian,15 (College Junior),Right,No,Yes,Filipino,Early Bilingual,No,
4/14/2023 17:06,4/14/2023 17:23,IP Address,205.175.118.117,100,985,TRUE,4/14/2023 17:23,R_Aj3aLyeO7wQ89HP,,,,,47.6137,-122.3104,anonymous,EN,"I consent, and I wish to participate.",7511,4/14/2023,4/11/2004,19,Female,Female,Not Hispanic or Latino,White,12 (Completed Highschool),Right,Yes,No,,Monolingual,No,
